AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-51,14.03,"(9.6,7.5)",-56,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-52,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-40,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-55,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-52,14.03,"(9.6,7.5)",-55,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-50,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-40,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-50,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-40,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-40,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-50,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-52,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-53,54.8,"(0,0)",-39,14.9,"(0,7.5)",,"(4.5,6.4)"
-51,14.03,"(9.6,7.5)",-54,54.8,"(0,0)",-38,14.9,"(0,7.5)",,"(4.5,6.4)"
